This report was generated by CMPSPEC (version Apr 18 1996, 09:27:27)

66 peaks in TEST.DAT
173 peaks in ..\REFRSL\STRAIGHT.REF
---------------------------------------------------------------------------
           'TRUE' DATA          |         MEASURED DATA        |             
           STRAIGHT.REF         |         TEST.DAT             |
---------------------------------------------------------------------------
        E      |        A       |       E      |       A       |   Z-scores  
    val   unc  |   val    unc   |   val   unc  |   val     unc |  rep   ref
---------------------------------------------------------------------------
*   72.5   0.1 |       0     0  |   72.5   0.1 |    4390   790 |  0.0 
*   74.6   0.1 |       0     0  |   74.6   0.1 |   24527  1275 |  0.0 
*   76.8   0.1 |       0     0  |   76.8   0.1 |   30441  1339 |  0.0 
*   79.1   0.2 |       0     0  |   79.1   0.2 |    1456   267 |  0.0 
*   84.6   0.1 |       0     0  |   84.6   0.1 |    4121   531 |  0.0 
*   87.0   0.1 |       0     0  |   87.0   0.1 |   11960   669 |  0.0 
*   89.7   0.1 |       0     0  |   89.7   0.1 |    3662   498 |  0.0 
   106.7   0.1 |     101    24  |  106.7   0.1 |       0   109 |       -0.9
   156.4   0.4 |     117    17  |  156.4   0.4 |       0    77 |       -1.5
   186.2   0.1 |   18035    36  |  186.4   0.1 |   17750   177 | -1.6  -1.7
   196.3   0.1 |     357    16  |  196.3   0.1 |       0    74 |       -4.7
   242.2   0.1 |   29268    58  |  242.3   0.1 |   28514   199 | -3.6  -2.8
   255.4   0.2 |      25     4  |  255.4   0.2 |       0    21 |       -1.2
   259.1   0.1 |    1957    21  |  259.1   0.1 |    1686    97 | -2.7  -2.8
   268.5   0.1 |      51     9  |  268.5   0.1 |       0    42 |       -1.2
   270.9   0.1 |      56    10  |  270.9   0.1 |       0    46 |       -1.2
   274.0   0.1 |     484    39  |  274.0   0.1 |       0   176 |       -2.7
   275.0   0.1 |    1175    40  |  274.9   0.1 |    1198    88 |  0.2   0.1
   280.7   0.1 |      85    15  |  280.7   0.1 |       0    70 |       -1.2
   281.4   0.1 |     168    15  |  281.4   0.1 |       0    69 |       -2.4
*  295.2   0.5 |   61144   610  |  295.2   0.1 |   58410   233 |  0.0   0.0
*  298.0   0.3 |     215    23  |  298.0   0.3 |       0   106 |        0.0
   304.1   0.1 |      49     6  |  304.1   0.1 |       0    30 |       -1.6
   305.5   0.1 |      95     7  |  305.5   0.1 |       0    31 |       -2.9
   314.4   0.1 |     241    16  |  314.4   0.1 |       0    75 |       -3.1
   323.6   0.2 |      72    15  |  323.6   0.2 |       0    69 |       -1.0
   333.2   0.1 |     186    10  |  333.2   0.1 |       0    45 |       -4.0
   334.8   0.1 |     118     9  |  334.8   0.1 |       0    43 |       -2.6
   348.9   0.2 |     379    96  |  348.9   0.2 |       0   432 |       -0.9
   351.9   0.1 |   98593   492  |  351.7   0.1 |   99280   297 |  1.2   0.3
   358.8   0.3 |      42    17  |  358.8   0.3 |       0    78 |       -0.5
   386.7   0.1 |     742    13  |  386.5   0.1 |     765    56 |  0.4   0.4
   388.8   0.1 |    1038    14  |  388.6   0.1 |    1145    61 |  1.7   1.6
   393.6   0.1 |      51     8  |  393.6   0.1 |       0    38 |       -1.3
   396.0   0.1 |      87     8  |  396.0   0.1 |       0    38 |       -2.2
   405.7   0.1 |     421    16  |  405.5   0.1 |     480    73 |  0.8   0.8
   427.7   0.2 |      73    14  |  427.7   0.2 |       0    64 |       -1.1
   452.9   0.1 |      69     9  |  452.9   0.1 |       0    42 |       -1.6
   454.7   0.1 |     597    10  |  454.5   0.1 |     544    65 | -0.8  -1.1
   461.1   0.1 |     144     6  |  461.1   0.1 |       0    30 |       -4.6
   461.9   0.1 |     329    13  |  461.8   0.1 |     450    60 |  1.9   1.9
   469.7   0.1 |     302     8  |  469.7   0.1 |       0    39 |       -7.4
   474.4   0.1 |     216    11  |  474.4   0.1 |       0    51 |       -4.1
   480.4   0.1 |     703    15  |  480.3   0.1 |     604    61 | -1.6  -1.4
   487.0   0.1 |     800    13  |  487.0   0.1 |     849    62 |  0.8   0.8
   502.1   0.1 |      46    10  |  502.1   0.1 |       0    47 |       -0.9
A  511.0   0.1 |    3548    21  |  510.8   0.1 |    1319    64 |-32.8 -22.9
   533.6   0.1 |     348     8  |  533.5   0.1 |     395    52 |  0.9   1.1
   536.7   0.1 |     106     8  |  536.7   0.1 |       0    36 |       -2.8
   542.9   0.1 |     108     9  |  542.9   0.1 |       0    44 |       -2.4
   543.8   0.1 |     112    10  |  543.8   0.1 |       0    44 |       -2.4
   546.9   0.1 |      68     6  |  546.9   0.1 |       0    29 |       -2.2
