"Spectrum File: LD-100.chn"
"Program: Fitzpeaks"
"Energy scale: 0.269309 keV/channel"
"Energy","Counts","Centroid","FWHM","Actual counts","Actual centroid"
50,117,200.023091802604,.764702094367302,117,200.025641025641
90,128,348.551504695927,.803048690582059,128,348.546875
130,128,497.079994696495,.841067627490963,127,497.062992125984
170,128,645.608561804426,.878758905094014,126,645.611111111111
210,139,794.137206019842,.916122523391212,139,794.107913669065
250,139,942.665927342862,.953158482382556,139,942.676258992806
290,139,1091.19472577361,.989866782068048,138,1091.19565217391
330,150,1239.7236013122,1.02624742244769,150,1239.7
370,150,1388.25255395875,1.06230040352147,148,1388.2972972973
410,150,1536.78158371339,1.0980257252894,149,1536.76510067114
450,161,1685.31069057623,1.13342338775148,159,1685.32075471698
490,161,1833.8398745474,1.16849339090771,162,1833.87037037037
530,161,1982.36913562701,1.20323573475808,160,1982.34375
570,161,2130.89847381519,1.2376504193026,160,2130.9125
610,172,2279.42788911206,1.27173744454127,172,2279.4476744186
650,172,2427.95738151772,1.30549681047408,171,2427.9298245614
690,172,2576.48695103232,1.33892851710104,170,2576.5
730,183,2725.01659765596,1.37203256442215,182,2725
770,183,2873.54632138876,1.4048089524374,182,2873.57142857143
810,183,3022.07612223085,1.4372576811468,182,3022.05494505495
850,194,3170.60600018235,1.46937875055035,195,3170.58461538462
890,194,3319.13595524337,1.50117216064804,195,3319.15897435897
930,194,3467.66598741404,1.53263791143988,193,3467.65284974093
970,194,3616.19609669448,1.56377600292587,193,3616.25388601036
1010,205,3764.7262830848,1.59458643510601,205,3764.72195121951
1050,205,3913.25654658512,1.62506920798029,206,3913.23786407767
1090,205,4061.78688719558,1.65522432154872,206,4061.80097087379
1130,205,4210.31730491628,1.68505177581129,204,4210.29411764706
1170,215,4358.84779974734,1.71455157076802,213,4358.85915492958
1210,215,4507.3783716889,1.74372370641889,216,4507.39351851852
1250,215,4655.90902074106,1.7725681827639,215,4655.89302325581
1290,215,4804.43974690394,1.80108499980307,215,4804.41860465116
1330,226,4952.97055017767,1.82927415753638,227,4952.98678414097
1370,226,5101.50143056238,1.85713565596383,222,5101.5
1410,226,5250.03238805816,1.88466949508544,225,5250.02222222222
1450,226,5398.56342266516,1.91187567490119,227,5398.55947136564
1490,237,5547.09453438348,1.93875419541108,237,5547.08860759494
1530,237,5695.62572321325,1.96530505661513,237,5695.6582278481
1570,237,5844.15698915459,1.99152825851332,235,5844.17021276596
1610,237,5992.68833220761,2.01742380110566,236,5992.64830508475
1650,247,6141.21975237244,2.04299168439214,246,6141.20731707317
1690,247,6289.7512496492,2.06823190837278,246,6289.76829268293
1730,247,6438.28282403801,2.09314447304755,248,6438.27419354839
1770,247,6586.81447553898,2.11772937841648,245,6586.82448979592
1810,247,6735.34620415225,2.14198662447955,245,6735.28979591837
1850,258,6883.87800987792,2.16591621123677,258,6883.89534883721
1890,258,7032.40989271612,2.18951813868814,257,7032.41245136187
1930,258,7180.94185266697,2.21279240683365,257,7180.91439688716
1970,258,7329.47388973059,2.23573901567331,260,7329.5
2010,269,7478.00600390709,2.25835796520712,266,7478
