"Spectrum File: LD-10k.chn"
"Program: Fitzpeaks"
"Energy scale: 0.269309 keV/channel"
"Energy","Counts","Centroid","FWHM","Actual counts","Actual centroid"
50,1138,200.023091802604,.764702094367302,1137,200.026385224274
90,1252,348.551504695927,.803048690582059,1253,348.550678371907
130,1252,497.079994696495,.841067627490963,1250,497.0816
170,1252,645.608561804426,.878758905094014,1250,645.6088
210,1364,794.137206019842,.916122523391212,1364,794.136363636364
250,1364,942.665927342862,.953158482382556,1363,942.6698459281
290,1364,1091.19472577361,.989866782068048,1363,1091.19589141599
330,1475,1239.7236013122,1.02624742244769,1474,1239.72252374491
370,1475,1388.25255395875,1.06230040352147,1475,1388.25355932203
410,1475,1536.78158371339,1.0980257252894,1472,1536.7839673913
450,1584,1685.31069057623,1.13342338775148,1582,1685.30783817952
490,1584,1833.8398745474,1.16849339090771,1583,1833.84080859128
530,1584,1982.36913562701,1.20323573475808,1583,1982.37018319646
570,1584,2130.89847381519,1.2376504193026,1583,2130.89766266582
610,1694,2279.42788911206,1.27173744454127,1694,2279.42975206612
650,1694,2427.95738151772,1.30549681047408,1693,2427.95156526875
690,1694,2576.48695103232,1.33892851710104,1695,2576.49085545723
730,1802,2725.01659765596,1.37203256442215,1801,2725.01221543587
770,1802,2873.54632138876,1.4048089524374,1802,2873.5499445061
810,1802,3022.07612223085,1.4372576811468,1801,3022.07884508606
850,1910,3170.60600018235,1.46937875055035,1910,3170.59633507853
890,1910,3319.13595524337,1.50117216064804,1908,3319.13993710692
930,1910,3467.66598741404,1.53263791143988,1910,3467.66387434555
970,1910,3616.19609669448,1.56377600292587,1907,3616.19821709491
1010,2018,3764.7262830848,1.59458643510601,2018,3764.72001982161
1050,2018,3913.25654658512,1.62506920798029,2017,3913.25532969757
1090,2018,4061.78688719558,1.65522432154872,2016,4061.7876984127
1130,2018,4210.31730491628,1.68505177581129,2017,4210.31928606842
1170,2125,4358.84779974734,1.71455157076802,2122,4358.84118755891
1210,2125,4507.3783716889,1.74372370641889,2123,4507.37870937353
1250,2125,4655.90902074106,1.7725681827639,2122,4655.90527803959
1290,2125,4804.43974690394,1.80108499980307,2124,4804.43879472693
1330,2232,4952.97055017767,1.82927415753638,2231,4952.96324518153
1370,2232,5101.50143056238,1.85713565596383,2231,5101.50380995069
1410,2232,5250.03238805816,1.88466949508544,2229,5250.03678779722
1450,2232,5398.56342266516,1.91187567490119,2230,5398.55829596413
1490,2339,5547.09453438348,1.93875419541108,2335,5547.09850107066
1530,2339,5695.62572321325,1.96530505661513,2336,5695.62414383562
1570,2339,5844.15698915459,1.99152825851332,2336,5844.16695205479
1610,2339,5992.68833220761,2.01742380110566,2336,5992.68664383562
1650,2445,6141.21975237244,2.04299168439214,2444,6141.21931260229
1690,2445,6289.7512496492,2.06823190837278,2441,6289.75092175338
1730,2445,6438.28282403801,2.09314447304755,2443,6438.28653295129
1770,2445,6586.81447553898,2.11772937841648,2443,6586.81047891936
1810,2445,6735.34620415225,2.14198662447955,2442,6735.34602784603
1850,2552,6883.87800987792,2.16591621123677,2548,6883.87441130298
1890,2552,7032.40989271612,2.18951813868814,2547,7032.41460541814
1930,2552,7180.94185266697,2.21279240683365,2548,7180.93799058085
1970,2552,7329.47388973059,2.23573901567331,2549,7329.4746959592
2010,2658,7478.00600390709,2.25835796520712,2653,7478.01470033924
